"species_code","scientific_name","common_name","is_resident","breeding_quality","breeding_start","breeding_end","nonbreeding_quality","nonbreeding_start","nonbreeding_end","postbreeding_migration_quality","postbreeding_migration_start","postbreeding_migration_end","prebreeding_migration_quality","prebreeding_migration_start","prebreeding_migration_end","resident_quality","resident_start","resident_end","has_trends","trends_season","trends_region","trends_start_year","trends_end_year","trends_start_date","trends_end_date","rsquared","beta0"
"leagre","Tachybaptus dominicus","Least Grebe",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2011,2021,"09-20","01-25",0.843294642543424,0.563907874226358
"leasan","Calidris minutilla","Least Sandpiper",FALSE,"3",2022-06-14,2022-06-21,"3",2022-12-13,2022-03-08,"3",2022-06-28,2022-12-06,"3",2022-03-15,2022-06-07,NA,NA,NA,TRUE,"nonbreeding","north_america",2011,2021,"12-13","03-08",0.724942987885371,0.416109188530801
"leater1","Sternula antillarum","Least Tern",FALSE,"3",2022-05-31,2022-07-19,"0",NA,NA,"3",2022-07-26,2022-12-06,"2",2022-03-15,2022-05-24,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-31","07-19",0.759754179575727,0.755160934642712
"lecspa","Ammospiza leconteii","LeConte's Sparrow",FALSE,"3",2022-06-07,2022-08-23,"3",2022-12-13,2022-03-22,"3",2022-08-30,2022-12-06,"3",2022-03-29,2022-05-31,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-07","08-23",0.780471429424276,0.241556978591117
"lecthr","Toxostoma lecontei","LeConte's Thrasher",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"01-11","05-24",0.667547881806172,-0.742445388800727
"lesgol","Spinus psaltria","Lesser Goldfinch",FALSE,"3",2022-05-31,2022-08-30,"3",2022-12-20,2022-02-08,"3",2022-09-06,2022-12-13,"3",2022-02-15,2022-05-24,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-31","08-30",0.89604134247449,0.0793293487171658
"lesgre1","Pachysylvia decurtata","Lesser Greenlet",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"lesnig","Chordeiles acutipennis","Lesser Nighthawk",FALSE,"3",2022-05-10,2022-08-16,"2",2022-12-06,2022-02-22,"2",2022-08-23,2022-11-29,"2",2022-03-01,2022-05-03,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"lessca","Aythya affinis","Lesser Scaup",FALSE,"3",2022-06-07,2022-07-26,"3",2022-12-20,2022-01-25,"3",2022-08-02,2022-12-13,"3",2022-02-01,2022-05-31,NA,NA,NA,TRUE,"nonbreeding","north_america",2011,2021,"12-20","01-25",0.523468352042084,0.393421308841239
"lessts1","Cecropis abyssinica","Lesser Striped Swallow",FALSE,"2",2022-08-09,2022-05-17,"2",2022-05-24,2022-07-19,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"breeding","south_africa",2015,2021,"08-09","05-17",0.494444453696748,0.968218710612666
"leswhi4","Curruca curruca","Lesser Whitethroat",FALSE,"2",2022-06-07,2022-07-05,"2",2022-11-22,2022-03-01,"2",2022-07-12,2022-11-15,"2",2022-03-08,2022-05-31,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"lesyel","Tringa flavipes","Lesser Yellowlegs",FALSE,"3",2022-06-07,2022-06-14,"3",2022-11-22,2022-02-01,"3",2022-06-21,2022-11-15,"3",2022-02-08,2022-05-31,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-07","06-14",0.704520292988431,0.48515329361205
"lewhon1","Meliphaga lewinii","Lewin's Honeyeater",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","aus_nz",2014,2022,"01-04","05-10",0.70751785291234,0.474778831207377
"lewwoo","Melanerpes lewis","Lewis's Woodpecker",FALSE,"3",2022-05-31,2022-08-02,"3",2022-11-01,2022-04-12,"3",2022-08-09,2022-10-25,"3",2022-04-19,2022-05-24,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-31","08-02",0.777351653001515,0.466076067531307
"libcor1","Phalacrocorax sulcirostris","Little Black Cormorant",FALSE,"2",2022-12-27,2022-02-22,"2",2022-03-01,2022-12-20,"0",NA,NA,"0",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"libcuc1","Chrysococcyx minutillus","Little Bronze-Cuckoo",FALSE,"2",2022-10-18,2022-02-08,"2",2022-06-21,2022-09-06,"2",2022-02-15,2022-06-14,"2",2022-09-13,2022-10-11,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"libher","Egretta caerulea","Little Blue Heron",FALSE,"3",2022-06-07,2022-07-05,"3",2022-11-22,2022-02-08,"3",2022-07-12,2022-11-15,"3",2022-02-15,2022-05-31,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-07","07-05",0.7709992139927,0.119807789077336
"lilmea2","Sturnella lilianae","Chihuahuan Meadowlark",FALSE,"2",2022-05-03,2022-06-14,"3",2022-11-15,2022-02-15,"0",NA,NA,"0",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"limpki","Aramus guarauna","Limpkin",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-11-29,2022-05-31,TRUE,"resident","north_america",2011,2021,"11-22","03-29",0.836624666558807,0.642283429100883
"linspa","Melospiza lincolnii","Lincoln's Sparrow",FALSE,"3",2022-06-14,2022-08-09,"3",2022-12-13,2022-02-15,"3",2022-08-16,2022-12-06,"3",2022-02-22,2022-06-07,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-14","08-09",0.822679373797225,-0.027975565534162
"linwoo1","Dryocopus lineatus","Lineated Woodpecker",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","south_america",2014,2021,"11-22","03-22",0.777759668002078,0.520977059012773
"lipcor1","Microcarbo melanoleucos","Little Pied Cormorant",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","aus_nz",2014,2022,"01-18","05-10",0.7168068586397,0.266434171412629
"lirplo","Charadrius dubius","Little Ringed Plover",FALSE,"2",2022-05-17,2022-06-14,"2",2022-11-08,2022-02-15,"2",2022-06-21,2022-11-01,"2",2022-02-22,2022-05-10,NA,NA,NA,TRUE,"nonbreeding","india_se_asia",2014,2021,"11-08","02-15",0.766209701467399,0.396491245208277
"liskiw1","Apteryx owenii","Little Spotted Kiwi",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"litcor1","Microcarbo niger","Little Cormorant",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"litcor2","Cacatua sanguinea","Little Corella",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-12-13,2022-06-28,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"litcro1","Corvus bennetti","Little Crow",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"litfri1","Philemon citreogularis","Little Friarbird",FALSE,"2",2022-09-06,2022-04-05,"2",2022-06-14,2022-07-12,"0",NA,NA,"0",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"litlor1","Parvipsitta pusilla","Little Lorikeet",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-11-29,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"litowl1","Athene noctua","Little Owl",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"litrav1","Corvus mellori","Little Raven",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-09-13,2022-04-05,TRUE,"resident","aus_nz",2014,2022,"01-25","07-26",0.828425029015313,0.373261850038676
"livbul1","Pycnonotus sinensis","Light-vented Bulbul",FALSE,"2",2022-05-03,2022-06-21,"2",2022-11-29,2022-02-22,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"breeding","taiwan",2012,2022,"05-03","06-21",0.894869937893466,-0.366678089594595
"lobcur","Numenius americanus","Long-billed Curlew",FALSE,"3",2022-05-17,2022-06-14,"3",2022-11-22,2022-02-08,"3",2022-06-21,2022-11-15,"3",2022-02-15,2022-05-10,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-17","06-14",0.647417489626385,1.28524671120528
"lobdow","Limnodromus scolopaceus","Long-billed Dowitcher",FALSE,"3",2022-06-21,2022-06-21,"3",2022-12-27,2022-02-01,"3",2022-06-28,2022-12-20,"3",2022-02-08,2022-06-14,NA,NA,NA,TRUE,"nonbreeding","north_america",2011,2021,"12-27","02-01",0.657418023993757,0.369346799720384
"lobsun2","Cinnyris lotenius","Loten's Sunbird",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"lobthr","Toxostoma longirostre","Long-billed Thrasher",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"01-11","04-26",0.787542037032327,0.868851620594435
"loeowl","Asio otus","Long-eared Owl",FALSE,"2",2022-05-10,2022-07-19,"2",2022-12-13,2022-02-15,"2",2022-07-26,2022-12-06,"2",2022-02-22,2022-05-03,NA,NA,NA,TRUE,"nonbreeding","north_america",2011,2021,"12-13","02-15",0.729170837852831,0.499149858361136
"logshr","Lanius ludovicianus","Loggerhead Shrike",FALSE,"3",2022-05-24,2022-07-19,"3",2022-12-06,2022-02-15,"3",2022-07-26,2022-11-29,"3",2022-02-22,2022-05-17,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-24","07-19",0.832941929938129,0.462099889280536
"lotduc","Clangula hyemalis","Long-tailed Duck",FALSE,"2",2022-06-14,2022-08-02,"2",2022-02-01,2022-02-22,"2",2022-08-09,2022-12-20,"2",2022-03-01,2022-06-07,NA,NA,NA,TRUE,"nonbreeding","north_america",2012,2022,"02-01","02-22",0.69768105461219,0.525211347666885
"lotman1","Chiroxiphia linearis","Long-tailed Manakin",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"01-25","05-17",0.803938014875422,-0.267499619787518
"lotmea1","Leistes loyca","Long-tailed Meadowlark",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","south_america",2015,2022,"07-19","09-27",0.777156679636955,0.401896039668355
"lotmoc1","Mimus longicaudatus","Long-tailed Mockingbird",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"lotshr1","Lanius schach","Long-tailed Shrike",FALSE,"2",2022-05-17,2022-07-19,"2",2022-11-01,2022-03-22,"2",2022-07-26,2022-10-25,"2",2022-03-29,2022-05-10,NA,NA,NA,TRUE,"nonbreeding","india_se_asia",2014,2021,"11-01","03-22",0.809263666986578,0.59956398637272
"louwat","Parkesia motacilla","Louisiana Waterthrush",FALSE,"3",2022-05-24,2022-06-21,"3",2022-10-18,2022-02-08,"3",2022-06-28,2022-10-11,"3",2022-02-15,2022-05-17,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-24","06-21",0.881939010478233,0.375248499647837
"lucwar","Leiothlypis luciae","Lucy's Warbler",FALSE,"3",2022-05-10,2022-07-05,"3",2022-11-22,2022-02-08,"3",2022-07-12,2022-11-15,"3",2022-02-15,2022-05-03,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-10","07-05",0.811831571371188,0.225048097824867
"lyhvul1","Cathartes burrovianus","Lesser Yellow-headed Vulture",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"macwar","Geothlypis tolmiei","MacGillivray's Warbler",FALSE,"3",2022-06-21,2022-07-19,"3",2022-11-22,2022-03-15,"3",2022-07-26,2022-11-15,"3",2022-03-22,2022-06-14,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-21","07-19",0.860952660686929,-0.0229406104742957
"magfri","Fregata magnificens","Magnificent Frigatebird",FALSE,"3",2022-05-24,2022-09-27,"3",2022-11-08,2022-03-29,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-24","09-27",0.684111237755707,0.822080050736888
"maghum1","Eugenes fulgens","Rivoli's Hummingbird",FALSE,"3",2022-04-26,2022-08-16,"2",2022-10-11,2022-03-15,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"04-26","08-16",0.737308618262355,-1.36864453250173
"maglar1","Grallina cyanoleuca","Magpie-lark",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"magrob","Copsychus saularis","Oriental Magpie-Robin",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","india_se_asia",2015,2022,"01-18","06-07",0.890132399761786,0.00875520916682278
"magwar","Setophaga magnolia","Magnolia Warbler",FALSE,"3",2022-06-14,2022-08-02,"3",2022-11-22,2022-03-29,"3",2022-08-09,2022-11-15,"3",2022-04-05,2022-06-07,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-14","08-02",0.822193690376014,0.204115494922884
"mallar3","Anas platyrhynchos","Mallard",FALSE,"3",2022-06-07,2022-08-16,"3",2022-12-27,2022-01-25,"3",2022-08-23,2022-12-20,"3",2022-02-01,2022-05-31,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-07","08-16",0.873091760750121,0.362278708325466
"mancuc","Coccyzus minor","Mangrove Cuckoo",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2011,2021,"12-13","05-10",0.721986426341634,-0.240831932632617
"manswa1","Tachycineta albilinea","Mangrove Swallow",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2011,2021,"11-29","03-15",0.75894966705331,0.644464046013337
"margod","Limosa fedoa","Marbled Godwit",FALSE,"3",2022-05-31,2022-06-14,"3",2022-11-22,2022-03-15,"3",2022-06-21,2022-11-15,"3",2022-03-22,2022-05-24,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"marmur","Brachyramphus marmoratus","Marbled Murrelet",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-09-20,2022-05-17,TRUE,"resident","north_america",2012,2022,"03-29","08-16",0.756524969626599,1.48422950945109
"marori2","Oriolus traillii","Maroon Oriole",FALSE,"1",2022-04-05,2022-06-07,"1",2022-11-08,2022-03-29,"0",NA,NA,"0",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"martit2","Poecile palustris","Marsh Tit",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"marwre","Cistothorus palustris","Marsh Wren",FALSE,"3",2022-06-14,2022-07-12,"3",2022-11-29,2022-03-08,"3",2022-07-19,2022-11-15,"3",2022-03-15,2022-06-07,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-14","07-12",0.901311746025951,0.287167095422842
"maslap1","Vanellus miles","Masked Lapwing",FALSE,"3",2022-08-02,2022-12-20,"3",2022-12-27,2022-07-26,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"breeding","aus_nz",2014,2022,"08-02","12-20",0.799374089071607,0.397200166135017
"mcclon","Rhynchophanes mccownii","Thick-billed Longspur",FALSE,"3",2022-05-03,2022-07-19,"2",2022-11-22,2022-02-08,"3",2022-07-26,2022-11-15,"3",2022-02-15,2022-04-26,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"meapar","Amazona farinosa","Mealy Parrot",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2011,2021,"12-06","03-22",0.836636310438489,0.455193146181236
"melbla1","Dives dives","Melodious Blackbird",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"01-11","05-31",0.88348838744013,0.150205551097701
"merlin","Falco columbarius","Merlin",FALSE,"2",2022-05-31,2022-07-26,"2",2022-11-29,2022-03-01,"2",2022-08-02,2022-11-22,"2",2022-03-08,2022-05-24,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-31","07-26",0.845603721494458,0.161403194098826
"mewgul2","Larus brachyrhynchus","Short-billed Gull",FALSE,"2",2022-05-24,2022-07-19,"3",2022-02-01,2022-02-15,"2",2022-07-26,2022-11-01,"2",2022-03-29,2022-05-17,NA,NA,NA,TRUE,"nonbreeding","north_america",2012,2022,"02-01","02-15",0.691076805153711,0.0964694078242317
"mexchi","Poecile sclateri","Mexican Chickadee",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"05-24","08-30",0.62380957324693,-0.36255588888898
"mexduc","Anas diazi","Mexican Duck",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2011,2021,"11-22","03-15",0.653539034626637,1.02514017442642
"mexjay4","Aphelocoma wollweberi","Mexican Jay",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"03-22","08-09",0.8838501194373,-0.377934635772232
"miskit","Ictinia mississippiensis","Mississippi Kite",FALSE,"3",2022-06-07,2022-08-09,"3",2022-11-29,2022-02-22,"3",2022-08-16,2022-11-22,"3",2022-03-01,2022-05-31,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-07","08-09",0.867507997928464,0.36484446351726
"monoro1","Psarocolius montezuma","Montezuma Oropendola",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"monpar","Myiopsitta monachus","Monk Parakeet",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"08-23","12-27",0.900920308911533,0.793229041475198
"monqua","Cyrtonyx montezumae","Montezuma Quail",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"03-08","08-16",0.742603900499421,1.62339260157298
"motduc","Anas fulvigula","Mottled Duck",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2011,2021,"11-22","03-22",0.871801650912157,0.273260726434183
"moublu","Sialia currucoides","Mountain Bluebird",FALSE,"3",2022-04-26,2022-08-30,"3",2022-12-06,2022-02-08,"3",2022-09-06,2022-11-29,"3",2022-02-15,2022-04-19,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"04-26","08-30",0.88276127177938,0.442680219421987
"mouchi","Poecile gambeli","Mountain Chickadee",FALSE,"3",2022-04-19,2022-09-13,"3",2022-09-20,2022-04-12,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"04-19","09-13",0.867275880612082,0.0142445772127175
"moudov","Zenaida macroura","Mourning Dove",FALSE,"3",2022-05-17,2022-09-06,"3",2022-11-22,2022-03-01,"3",2022-09-13,2022-11-15,"3",2022-03-08,2022-05-10,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-17","09-06",0.902022790594522,0.0488144531127068
"mouela1","Elaenia frantzii","Mountain Elaenia",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"01-04","05-31",0.650026593937828,1.27776954992195
"mouqua","Oreortyx pictus","Mountain Quail",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"03-08","05-24",0.796045056161347,0.468266831866504
"mouwar","Geothlypis philadelphia","Mourning Warbler",FALSE,"3",2022-06-14,2022-08-09,"3",2022-11-08,2022-03-22,"3",2022-08-16,2022-11-01,"3",2022-03-29,2022-06-07,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-14","08-09",0.769351006344584,0.813500288697196
"musduc","Cairina moschata","Muscovy Duck",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"01-04","05-10",0.696861824801644,0.0149470844905254
"muslor1","Glossopsitta concinna","Musk Lorikeet",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"mutswa","Cygnus olor","Mute Swan",FALSE,"2",2022-03-08,2022-09-13,"2",2022-12-13,2022-01-11,"2",2022-09-20,2022-12-06,"2",2022-01-18,2022-03-01,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"03-08","09-13",0.718249072888067,0.490659186848637
"naswar","Leiothlypis ruficapilla","Nashville Warbler",FALSE,"3",2022-06-14,2022-07-12,"3",2022-12-27,2022-02-15,"3",2022-07-19,2022-12-20,"3",2022-02-22,2022-06-07,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-14","07-12",0.865147915961435,0.565335001762084
"nehhon2","Phylidonyris novaehollandiae","New Holland Honeyeater",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","aus_nz",2014,2022,"01-04","04-12",0.816151197542472,0.210199858557262
"neocor","Nannopterum brasilianum","Neotropic Cormorant",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2011,2021,"10-04","02-08",0.566033505997626,0.453031633234381
"nezbel1","Anthornis melanura","New Zealand Bellbird",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","aus_nz",2014,2022,"08-02","12-27",0.485488335098552,-0.500653060309478
"nezfan1","Rhipidura fuliginosa","New Zealand Fantail",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","aus_nz",2014,2022,"03-01","05-10",0.815730237531976,0.349863191674032
"nezpig2","Hemiphaga novaeseelandiae","New Zealand Pigeon",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","aus_nz",2014,2022,"07-26","12-20",0.63233391024094,1.49027045092029
"nobtyr","Camptostoma imberbe","Northern Beardless-Tyrannulet",FALSE,"3",2022-03-08,2022-09-27,"3",2022-10-04,2022-02-22,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"03-08","09-27",0.828732065287223,0.395839073058426
"nohowl","Surnia ulula","Northern Hawk Owl",FALSE,"0",NA,NA,"2",2022-10-25,2022-03-29,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"nonbreeding","north_america",2011,2021,"10-25","03-29",0.560213664518366,0.41144794888326
"noimin1","Manorina melanocephala","Noisy Miner",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","aus_nz",2014,2022,"03-08","07-05",0.886764333396628,0.0462799759147534
"nopowl","Glaucidium gnoma","Northern Pygmy-Owl",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2011,2021,"11-29","03-15",0.842738346152697,0.346037492909977
"norbob","Colinus virginianus","Northern Bobwhite",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-04-26,2022-08-30,TRUE,"resident","north_america",2012,2022,"03-22","06-07",0.832803352721808,0.841555114503377
"norcar","Cardinalis cardinalis","Northern Cardinal",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"01-11","05-10",0.929131508406518,-0.0991776866002861
"noremt1","Aulacorhynchus prasinus","Northern Emerald-Toucanet",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,TRUE,"resident","north_america",2011,2021,"11-15","05-10",0.733115812262893,0.546969637250464
"norfli","Colaptes auratus","Northern Flicker",FALSE,"3",2022-05-17,2022-08-30,"3",2022-11-15,2022-02-22,"3",2022-09-06,2022-11-08,"3",2022-03-01,2022-05-10,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-17","08-30",0.901311835376784,-0.326962638158014
"norgan","Morus bassanus","Northern Gannet",FALSE,"2",2022-06-14,2022-07-05,"2",2022-10-18,2022-04-26,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"nonbreeding","north_america",2011,2021,"10-18","04-26",0.830533850491837,0.120801885842742
"norgos","Accipiter atricapillus","American Goshawk",FALSE,"2",2022-05-03,2022-07-05,"2",2022-12-13,2022-01-25,"2",2022-07-12,2022-12-06,"2",2022-02-01,2022-04-26,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-03","07-05",0.777073012538663,0.136693217235345
"norhar2","Circus hudsonius","Northern Harrier",FALSE,"3",2022-06-07,2022-07-05,"3",2022-12-20,2022-02-08,"3",2022-07-12,2022-12-13,"3",2022-02-15,2022-05-31,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-07","07-05",0.863144134613458,0.762703312017671
"norjac","Jacana spinosa","Northern Jacana",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2011,2021,"11-01","01-18",0.790705130816508,0.689534680560002
